customer_id,full_name,email,phone,address,residence_country,customer_age
CUST-0084,Christine Franklin,johnnydavis@example.net,+1-870-396-1298x7314,"5759 Mitchell Stream, Smithtown, NM 64678",India,28
CUST-0085,Autumn Leblanc,rbutler@example.org,728-486-0359,"6097 Pearson Corners Apt. 576, Erinview, CA 25147",Germany,21
CUST-0086,Paul Nielsen,jstephens@example.net,001-842-238-5821x690,"42653 Ashley Overpass Suite 821, South Daniel, MT 55851",Australia,44
CUST-0087,Johnathan Garcia,silvalaura@example.net,777.720.7620x997,"2478 Moreno Bridge Suite 453, East Christina, LA 02469",Canada,52
CUST-0088,Christina Gutierrez,jennifermartinez@example.com,236.407.2319,"16162 Curry Prairie Apt. 585, Murrayfurt, LA 96615",Japan,65
CUST-0089,Rachel Kirk,znguyen@example.net,468.467.5160x795,"546 Brittany Court Suite 370, Flemingshire, CA 25406",United States,25
CUST-0090,Deborah Gonzalez,jerrypena@example.net,899.222.1897x48320,"85977 Banks Corners Apt. 808, Lake Susanbury, ME 30338",France,33
CUST-0091,Cheryl Diaz,carolinerhodes@example.com,+1-287-423-3262x8781,"5811 Brooks Court Suite 832, West Ashley, OK 43138",France,35
CUST-0092,Timothy Brown,seansanders@example.com,001-617-539-6108x633,"20766 Ashley Centers, Bradleyshire, DE 05990",United States,60
CUST-0093,Amy Houston,moneal@example.net,001-407-474-5040,"533 Rogers Trafficway Apt. 993, Contrerasborough, VI 18134",Singapore,45
CUST-0094,David Tucker,richardsonleah@example.net,+1-277-875-0389x2084,"012 Leonard Turnpike Apt. 923, Patriciaville, VI 66213",Switzerland,58
CUST-0095,Stephen Gray,wilkinsonjaime@example.com,5342332454,"626 Larry Underpass, Port Reginaldstad, DE 34721",United Kingdom,60
CUST-0096,Brian Mann,amycarrillo@example.org,340-565-4608,"579 Ruiz Heights Apt. 836, Allenburgh, DC 55802",India,64
CUST-0097,Holly Wright,ssanders@example.net,(930)877-8530x170,"46737 Evan Ferry Suite 601, East Paulbury, OR 86282",Australia,45
CUST-0098,Raymond Malone,brookstricia@example.org,5833193228,"57282 Baker Rue Suite 073, Nicholsville, FM 47085",Canada,58
CUST-0099,Rachel Harris,larryjimenez@example.net,626-216-9413,"51220 Sanchez Wall Suite 454, Lisaport, AR 97888",Germany,45
CUST-0100,Alan Martin,gbriggs@example.org,4346525408,"7901 Alexis Keys Apt. 802, Stevensfurt, MN 82633",United States,60
CUST-0101,Logan Robinson,crussell@example.org,(533)337-8909x140,"46316 Henderson Station, Lorrainehaven, RI 88973",Japan,59
CUST-0102,Heather Brown,andrea94@example.net,001-982-967-4909x572,"33501 Carroll Walks Apt. 312, New Jesse, NC 39301",France,43
CUST-0103,Ronnie Harris,jamesbauer@example.org,(426)918-6771x2568,"0599 Palmer Garden, West Jonathan, AR 93993",Singapore,26
CUST-0104,Marissa Gordon DDS,daniellewilliams@example.org,762.567.0024x312,"945 Erica Ports Apt. 179, Royport, NV 80660",Singapore,77
CUST-0105,Holly Erickson,shepherdsamantha@example.net,001-324-388-6564x39156,"201 Ashley Hills, South Ashley, SC 19158",United States,23
CUST-0106,Tim Mason,valerie14@example.com,(413)973-0672x25492,"PSC 4359, Box 0531, APO AA 71440",Switzerland,48
CUST-0107,Michael Benitez,floreskenneth@example.net,+1-314-818-0596x85015,"66308 Cardenas Throughway Apt. 526, Robinsonchester, OK 04811",Australia,52
CUST-0108,Sandra Gonzalez,olivererin@example.net,277.216.5327x35852,"597 Holly Squares Suite 390, Baldwinburgh, NC 51075",Canada,57
CUST-0109,Casey Morris,jonesrobert@example.org,001-456-735-0612x190,"38738 Michele Shore Apt. 441, Lake Seanview, MS 65592",Canada,40
CUST-0110,Dawn Miller,hansentiffany@example.com,+1-849-986-3080,"578 Guzman Parkways, Kathrynchester, NJ 55066",United Kingdom,63
CUST-0111,Marissa Clark,thomasfarley@example.org,202-524-5586x7702,"6945 Ryan Brooks Suite 712, North Melvin, DC 73320",Canada,54
CUST-0112,Edgar Evans,davidburns@example.com,417.848.4816x4981,"272 Baker Passage Suite 747, New Marioberg, SD 38327",United Kingdom,68
CUST-0113,Crystal Ross,iharris@example.com,6602856667,"10976 Roach Station, Hernandezport, AL 47265",Singapore,44
CUST-0114,Christopher Gibbs,courtney59@example.org,459.746.9622x92238,"3782 Jesus Roads, South Pamelaberg, FL 28502",United States,44
CUST-0115,Kelly Diaz,olong@example.org,705-921-5302,"60915 Sara Roads, Lake Thomasview, DC 01606",India,34
CUST-0116,Jennifer Lee,hawkinsbenjamin@example.com,700-616-6270x0208,"778 Watkins Heights, Markview, CT 33946",France,55
CUST-0117,Richard Mckinney,manningscott@example.com,423.775.8340x36124,"57540 Taylor Shoal Apt. 602, New Danielfurt, MA 29878",Australia,40
CUST-0118,Andrew Parker,adrian45@example.net,001-218-698-1864x8252,"430 Fisher Radial, Meganstad, WY 92786",India,47
CUST-0119,Nathan Wade,cbradley@example.net,(282)821-7198,"070 Cox Mount, New Brandon, MP 08356",Switzerland,41
CUST-0120,Barbara Daniels,uhines@example.org,285-500-6018,"87141 Lisa Knolls, Thomasfort, TN 40193",Singapore,24
CUST-0121,Jim Davis,brendacole@example.org,330.236.6093x464,"10284 Sheri Run Suite 678, Jonberg, NJ 03350",United Kingdom,27
CUST-0122,Brandon Castaneda,lisa11@example.net,(880)981-0498x875,"42757 Sheila Turnpike, Port Anitaborough, AS 52630",France,22
CUST-0123,Emily Key,bharris@example.net,487-894-7041,"291 Cunningham Brook Suite 925, Lake Michael, NJ 17495",Australia,63
CUST-0124,Steven Duncan,dcarpenter@example.net,531-883-3740x022,"8369 Jason Ford, Stephanieland, ME 38090",United Kingdom,25
CUST-0125,Lance Franco,jasonrobinson@example.com,001-650-493-9832x6560,"9714 Cain Isle, Courtneyberg, WY 32438",Australia,55
CUST-0126,John King,wheeleramber@example.net,001-474-886-3405x8243,"9421 Richard Trail Apt. 509, Andersonland, MP 77016",Canada,42
CUST-0127,Dillon Ray,mariabaker@example.net,275-535-7031x2886,"2118 Dean Springs, New Ginamouth, PA 85480",Germany,49
CUST-0128,Cindy Chandler,meyermichelle@example.com,628.487.5651x1175,"4735 Fritz Corner, Rodgersberg, NE 16101",Germany,56
CUST-0129,Michael Stevens,danielwood@example.com,001-553-296-2498,"56149 Trevino Mall, Michaelview, LA 85126",Canada,70
CUST-0130,Stacey Hall,anitahunter@example.org,575-888-1507x581,"3537 Henry Corner, New Dannymouth, MI 69233",Australia,45
CUST-0131,John Nguyen,jeffreybrown@example.net,(786)791-9405x95837,"9650 Mitchell Meadows Suite 885, Gillburgh, MP 96150",Japan,46
CUST-0132,Joshua Fernandez,obrieneugene@example.org,(787)975-3956x4432,"Unit 5518 Box 1574, DPO AA 03171",India,24
CUST-0133,Kathryn White,paulsavage@example.org,418.417.3174x3777,"605 Matthew Trail Suite 279, Port Tinabury, VA 40488",Singapore,27
CUST-0134,Ronald Weber,travismathews@example.org,001-530-258-6452,"3100 Renee Port, Lake Alexis, NJ 91893",United States,46
CUST-0135,Thomas Davenport,travisthornton@example.net,617-899-7971,"50308 April Wall Suite 620, New Rodney, AR 71995",United Kingdom,34
CUST-0136,Brandon Shaffer,alexanderandrew@example.org,225-223-1741x4169,"2373 Christopher Summit, Lunaberg, AR 95991",France,64
CUST-0137,Stephanie Caldwell,austin94@example.com,(307)271-5920x82736,"20595 Perkins Course Suite 999, Butlerbury, LA 36557",Germany,34
CUST-0138,Jaime Hunter,austinalvarez@example.com,335.228.5912x055,"49790 Potts Stream Apt. 891, West Richard, IL 95409",Japan,63
CUST-0139,Richard Edwards,ochoajonathan@example.org,+1-600-574-6735x85062,"PSC 0762, Box 4264, APO AE 05775",Canada,30
CUST-0140,Stephanie Bird,davidcarr@example.com,472.710.9719,"8798 Laura Mount Apt. 132, Danielview, AL 32373",Switzerland,34
CUST-0141,Kimberly Russell,sarahcarr@example.com,769.581.2263,"48407 Burke Rue Apt. 258, New Alexandramouth, TX 45559",Singapore,30
CUST-0142,Miguel Johnson,melissaharvey@example.net,001-372-750-1174x932,"Unit 2194 Box 9675, DPO AA 52910",Australia,35
CUST-0143,Ryan Miller,joneschristy@example.net,248-425-7861,"Unit 8171 Box 9845, DPO AP 90926",France,65
CUST-0144,Troy Clark,erin33@example.org,+1-559-275-2991x5814,"09222 Ryan Radial, North Jessicaville, AR 40158",Switzerland,55
CUST-0145,Stephanie Barker,olsoncarmen@example.net,458.802.9628,"0633 Hooper Lodge, West Christophershire, AL 39894",Australia,52
CUST-0146,Hector Martinez,skinnerveronica@example.net,(599)594-5003,"769 Rice Brook Suite 559, Lake Kathrynside, GA 94395",Switzerland,48
CUST-0147,Joseph Mendoza,robinsontimothy@example.org,001-472-869-4828x9247,"Unit 0121 Box 0333, DPO AP 41278",Germany,68
CUST-0148,Anthony Wilson,kmadden@example.org,+1-852-849-6340x9262,"5666 Clark Island Suite 454, Aaronville, KS 80193",France,66
CUST-0149,Alexandra Clark,mhernandez@example.net,(974)918-1682,"7673 Kevin Dale, Hughestown, NY 24059",Germany,74
CUST-0150,Alicia Ibarra,coxlauren@example.org,941-530-2074,"2865 Amber Harbors Apt. 901, Robinsonville, VI 51315",United Kingdom,65
CUST-0151,Elizabeth Cross,russellraymond@example.org,(404)836-8348,"70234 Diaz Plains Suite 304, Millerchester, MS 32803",Yemen,32
CUST-0152,Jacqueline Oconnor,brookemendoza@example.net,001-418-470-6445x28427,"7120 Jones Vista Apt. 652, South Terrybury, UT 61969",France,60
CUST-0153,Morgan Sanchez,omar00@example.org,694.451.4866x30870,"5972 Garza Avenue Suite 684, South Peter, PR 37228",Canada,31
CUST-0154,Megan Thompson,qyoung@example.net,713-312-4364x19738,"PSC 6958, Box 8467, APO AP 12790",Australia,20
CUST-0155,Janet Hayes,shawn58@example.net,959.610.2316x7426,"29261 Michelle Circles, Lake Gerald, MA 65944",United Kingdom,14
CUST-0156,Morgan Obrien,christinemoore@example.com,001-302-642-0874x9847,"29080 Tina Fort Apt. 278, South Danielside, MS 90784",Germany,51
CUST-0157,Stephanie Anderson,david46@example.net,+1-749-265-7562,"9416 Castro Rapid, Lindahaven, MS 53655",Singapore,39
CUST-0158,Jeremiah Rowe,jmoore@example.net,328-976-9681x4340,"181 Washington Shoals Suite 940, Jacobshire, FL 13818",France,27
CUST-0159,Andrew Liu,qthomas@example.com,+1-498-869-5273,"349 Kathryn Isle, New Stephanie, NC 17519",Singapore,31
CUST-0160,Meghan Young,suzanne06@example.net,664.395.0244x95118,"7972 Fischer Rapid, New Madisonstad, MN 82724",Japan,53
CUST-0161,Kelsey Ramirez,perrydawn@example.org,532.827.0154x6398,"3576 Todd Ports Apt. 031, Brownstad, AR 13248",Switzerland,53
CUST-0162,Edward Davis,zachary16@example.org,977.935.3775x294,"USNV Welch, FPO AP 48581",Germany,42
CUST-0163,Jessica Benson,rcastro@example.org,(530)730-4494x60636,"10344 Tammy Square, Ryanstad, OR 55991",United States,45
CUST-0164,Mallory Gonzalez,gary15@example.com,(237)299-2039,"068 Johnson Shoal, Davidburgh, VA 01512",United States,26
CUST-0165,Jessica Cunningham,cking@example.com,(323)765-1392x33509,"USNV Golden, FPO AP 60212",Germany,60
CUST-0166,Michael Huber,alexis21@example.com,715.425.0435x895,"6312 Joseph Parkways Suite 435, Quinnstad, NC 11518",United States,33
CUST-0167,Aaron Evans,russellronald@example.org,528-203-0530x47610,"983 Justin Walk Suite 358, Abigailchester, VT 07247",Germany,60
CUST-0168,James Scott,paulacohen@example.org,(610)744-8349x2650,"PSC 0653, Box 1459, APO AP 46274",Singapore,27
CUST-0169,Michelle Davis,hermanreginald@example.net,+1-499-327-5046x07267,"76566 Kristen Bridge Apt. 900, West Jenniferside, OK 24294",Singapore,60
CUST-0170,Jeff Davis,qbaker@example.com,(535)833-6153x6884,"294 Todd Squares Suite 927, South Bonnietown, OH 37421",United Kingdom,18
CUST-0171,Wesley Cervantes,powens@example.net,877-672-4403,"057 Steven Ranch Apt. 713, Thomasview, NM 29237",India,33
CUST-0172,Elizabeth Brandt,nbailey@example.com,(371)265-8890x4287,"98252 Gary Pike, Port Laura, NC 08492",Singapore,95
CUST-0173,Michael Jimenez,stephanierhodes@example.org,(667)403-1602x957,"99864 Jessica Gateway, Jacquelinebury, ID 20056",Japan,35
CUST-0174,Linda Russell,brandon45@example.com,(969)448-0457x787,"4198 Jackson Circle, Lake Pamelaberg, WV 71898",United States,37
CUST-0175,Kenneth Johnson,wendymorris@example.com,724.610.1916,"1574 Green Station, Davisfurt, NE 42905",France,39
CUST-0176,Lee Little,yshelton@example.org,805.904.8954x7555,"509 Katherine Plaza, Reginaview, CT 22888",Yemen,62
CUST-0177,Julia Rodriguez,kimberlymitchell@example.net,8512029331,"USNV Stephens, FPO AA 30122",United States,19
CUST-0178,Lisa Greer,randallangela@example.org,9662972731,"Unit 0341 Box 6680, DPO AA 10998",Switzerland,56
CUST-0179,Teresa Simon,barbarakidd@example.org,+1-719-273-2396,"01155 Collier Via, Port Lorrainebury, LA 81389",Australia,18
CUST-0180,Marc Huff,destiny18@example.com,(643)501-5530x045,"231 Michelle Centers, Stoneton, FM 94041",Germany,20
CUST-0181,Rebecca Kennedy,avilaaaron@example.com,+1-529-285-0163x911,"2252 Evans Springs Suite 708, East Kelly, DC 27184",Singapore,38
CUST-0182,Joseph Bowers,graytony@example.org,356-880-5028x5225,"6245 Johnston Roads Suite 942, East Courtneyport, MI 31020",Switzerland,35
CUST-0183,Amanda Roberts DVM,turnerdaniel@example.org,(491)223-0216x334,"155 Ashley Ranch, Lake Christopherton, NV 99758",India,42
CUST-0184,Gregory Johnson,huffmanbrandon@example.org,7279070464,"Unit 0542 Box 5738, DPO AE 22997",Switzerland,21
CUST-0185,Thomas Carroll,april89@example.org,2777367023,"507 Bennett Lodge Apt. 275, East Ryan, MI 43839",United States,24
CUST-0186,Karen Brown,gilltravis@example.com,8453973895,"Unit 7351 Box 4285, DPO AP 81515",Japan,65
CUST-0187,Sandra Brady,russelltheresa@example.org,001-968-224-8464x52593,"20931 Jason Center Suite 761, Port Christopherview, WA 50741",United Kingdom,42
CUST-0188,Lisa Fischer,brianagonzalez@example.com,9112858743,"60846 Hawkins Knoll Suite 169, Lake Isaacchester, MP 09192",Australia,68
CUST-0189,Brenda Zavala,matthewlong@example.net,(280)622-6399x027,"120 Scott Squares Suite 219, Johnfurt, ID 67087",United Kingdom,36
CUST-0190,Peter Hughes,robert90@example.com,001-771-564-9306x3351,"83564 Farley Green Suite 823, Zacharystad, CO 14999",Germany,32
CUST-0191,Marie Kim MD,hallrobin@example.net,+1-803-228-7149x0689,"0029 Watson Street, Nguyenberg, KS 68009",Japan,70
CUST-0192,Tiffany Williams MD,sarah36@example.net,763-244-3573x56680,"731 Lisa Squares Apt. 425, New Samanthahaven, NC 52931",India,30
CUST-0193,Mark Schneider,kimberlywolfe@example.com,702.213.0412,"392 Williams Street, Hendersonbury, KS 76476",United Kingdom,29
CUST-0194,Patricia Moore,xsherman@example.org,(392)588-1222,"647 Danielle Common, Whiteville, WA 94037",France,44
CUST-0195,Nathan Brown,valdezhenry@example.com,305-385-4124,"296 Soto Groves Apt. 345, Rossfurt, LA 67639",Australia,20
CUST-0196,Samuel Mendoza,gonzalesthomas@example.net,970-738-6220x1890,"474 Ronnie Fort Suite 007, Lake John, AS 17795",Canada,29
CUST-0197,Stephanie Bryan,howardrichardson@example.com,+1-782-912-7372,"8784 Francis Roads Suite 797, East Elizabeth, MH 19251",Japan,63
CUST-0198,Michelle Solomon,potterkathryn@example.net,404-972-0917,"680 John Fields, Hawkinschester, WA 81433",Canada,37
CUST-0199,Mary Taylor,barbara02@example.org,001-550-548-9278x103,"71358 Morgan Circles Apt. 868, Port Chelsea, RI 55659",Venezuela,64
CUST-0200,David Robinson,fharvey@example.com,(891)464-2281x5251,"3071 Andrew Grove, South Garyfort, OR 93892",United Kingdom,71
CUST-0201,Jennifer Fuller,willie86@example.org,703-818-7947,"9560 Michael Springs, Jenkinsfort, GA 21285",Australia,20
CUST-0202,Suzanne Mack,brookskevin@example.org,(357)450-0852x7667,"0498 Brittany Crescent, Evanston, WI 54752",Australia,57
CUST-0203,Miss Ashley Hicks MD,adamsgabriel@example.org,528.423.5074x72357,"1590 Reynolds Dam, Aliview, NY 93651",Canada,30
CUST-0204,Carlos Soto,jeffrey19@example.com,965.297.8026,"48251 Natalie Corner Apt. 657, Mariachester, WV 94494",India,52
CUST-0205,Samantha Smith,catherineshields@example.com,446-469-4652x4749,"9333 Matthew Dam, Port Mistymouth, NE 86419",United States,27
