account_number,customer_id,account_type,open_date,balance,status
ACC-00153,CUST-0107,Credit Card,2019-03-03,773.0,DORMANT
ACC-00154,CUST-0108,Checking,2025-07-03,4528.0,ACTIVE
ACC-00155,CUST-0109,Checking,2019-11-24,69248.0,ACTIVE
ACC-00156,CUST-0110,Checking,2024-01-14,3188.0,ACTIVE
ACC-00157,CUST-0111,Credit Card,2021-02-02,25656.0,ACTIVE
ACC-00158,CUST-0112,Credit Card,2022-04-03,44745.0,ACTIVE
ACC-00159,CUST-0113,Checking,2018-09-07,5427.0,ACTIVE
ACC-00160,CUST-0114,Savings,2023-03-20,1797929.0,ACTIVE
ACC-00161,CUST-0115,Checking,2021-07-24,7881.0,ACTIVE
ACC-00162,CUST-0115,Checking,2019-11-29,4305.0,ACTIVE
ACC-00163,CUST-0116,Savings,2024-11-18,3725.0,ACTIVE
ACC-00164,CUST-0116,Checking,2019-09-21,197.0,ACTIVE
ACC-00165,CUST-0117,Credit Card,2022-11-03,7029.0,ACTIVE
ACC-00166,CUST-0118,Savings,2026-05-23,6526.0,ACTIVE
ACC-00167,CUST-0118,Savings,2020-11-24,7949.0,ACTIVE
ACC-00168,CUST-0119,Savings,2018-08-31,7722.0,ACTIVE
ACC-00169,CUST-0120,Credit Card,2021-01-18,9482.0,ACTIVE
ACC-00170,CUST-0121,Savings,2020-10-15,4200121.0,ACTIVE
ACC-00171,CUST-0122,Checking,2025-01-06,2168.0,ACTIVE
ACC-00172,CUST-0123,Credit Card,2018-07-05,760.0,ACTIVE
ACC-00173,CUST-0123,Savings,2019-01-21,66426.0,ACTIVE
ACC-00174,CUST-0124,Credit Card,2023-02-10,8397.0,ACTIVE
ACC-00175,CUST-0125,Savings,2019-07-20,3675270.0,ACTIVE
ACC-00176,CUST-0126,Checking,2024-03-27,95977.0,ACTIVE
ACC-00177,CUST-0127,Credit Card,2022-02-02,99419.0,ACTIVE
ACC-00178,CUST-0128,Checking,2023-11-07,3556.0,ACTIVE
ACC-00179,CUST-0128,Credit Card,2024-05-12,8082.0,ACTIVE
ACC-00180,CUST-0129,Savings,2020-09-07,9691.0,ACTIVE
ACC-00181,CUST-0130,Savings,2025-12-11,8865.0,ACTIVE
ACC-00182,CUST-0130,Credit Card,2018-12-26,77289.0,ACTIVE
ACC-00183,CUST-0130,Savings,2021-03-01,9930.0,ACTIVE
ACC-00184,CUST-0131,Checking,2023-04-24,89821.0,ACTIVE
ACC-00185,CUST-0132,Credit Card,2021-05-10,5387.0,ACTIVE
ACC-00186,CUST-0133,Savings,2023-07-27,2512.0,ACTIVE
ACC-00187,CUST-0134,Credit Card,2019-02-28,97014.0,ACTIVE
ACC-00188,CUST-0135,Checking,2022-04-11,4107.0,ACTIVE
ACC-00189,CUST-0136,Savings,2023-06-01,1647.0,ACTIVE
ACC-00190,CUST-0137,Checking,2019-02-05,28024.0,ACTIVE
ACC-00191,CUST-0138,Savings,2019-10-31,1119545.0,ACTIVE
ACC-00192,CUST-0139,Checking,2021-02-09,3056069.0,ACTIVE
ACC-00193,CUST-0139,Credit Card,2020-10-31,5475.0,ACTIVE
ACC-00194,CUST-0140,Credit Card,2025-09-23,8731.0,ACTIVE
ACC-00195,CUST-0141,Checking,2022-12-15,28770.0,ACTIVE
ACC-00196,CUST-0141,Credit Card,2020-04-09,6966.0,ACTIVE
ACC-00197,CUST-0141,Savings,2024-11-17,2228.0,ACTIVE
ACC-00198,CUST-0142,Credit Card,2023-06-25,63431.0,ACTIVE
ACC-00199,CUST-0143,Credit Card,2026-05-30,2339276.0,ACTIVE
ACC-00200,CUST-0143,Credit Card,2024-07-06,7735.0,ACTIVE
ACC-00201,CUST-0143,Credit Card,2021-01-28,9695.0,ACTIVE
ACC-00202,CUST-0144,Savings,2025-03-16,9821.0,ACTIVE
ACC-00203,CUST-0144,Savings,2018-08-23,50553.0,ACTIVE
ACC-00204,CUST-0145,Checking,2022-01-05,4778124.0,ACTIVE
ACC-00205,CUST-0146,Checking,2024-11-08,9758.0,ACTIVE
ACC-00206,CUST-0147,Savings,2019-12-18,7747.0,ACTIVE
ACC-00207,CUST-0148,Savings,2026-07-18,7516.0,ACTIVE
ACC-00208,CUST-0148,Savings,2025-07-21,573191.0,ACTIVE
ACC-00209,CUST-0148,Checking,2026-07-15,1275544.0,ACTIVE
ACC-00210,CUST-0149,Credit Card,2026-02-10,39601.0,ACTIVE
ACC-00211,CUST-0149,Checking,2026-02-05,10240.0,ACTIVE
ACC-00212,CUST-0150,Checking,2021-07-15,4917921.0,ACTIVE
ACC-00213,CUST-0150,Savings,2020-01-12,67132.0,ACTIVE
ACC-00214,CUST-0151,Credit Card,2026-07-17,9706.0,ACTIVE
ACC-00215,CUST-0151,Checking,2026-07-19,85739.0,ACTIVE
ACC-00216,CUST-0151,Checking,2026-07-08,97699.0,ACTIVE
ACC-00217,CUST-0152,Savings,2022-11-03,9440.0,ACTIVE
ACC-00218,CUST-0152,Savings,2026-05-22,4239047.0,ACTIVE
ACC-00219,CUST-0153,Credit Card,2023-12-06,66433.0,ACTIVE
ACC-00220,CUST-0154,Credit Card,2019-02-17,4000.0,ACTIVE
ACC-00221,CUST-0155,Savings,2019-06-20,8240.0,ACTIVE
ACC-00222,CUST-0155,Checking,2020-08-15,4163691.0,ACTIVE
ACC-00223,CUST-0156,Credit Card,2021-06-12,84016.0,ACTIVE
ACC-00224,CUST-0156,Credit Card,2023-05-30,71657.0,ACTIVE
ACC-00225,CUST-0157,Savings,2024-09-02,76314.0,ACTIVE
ACC-00226,CUST-0157,Checking,2019-12-01,99143.0,ACTIVE
ACC-00227,CUST-0158,Savings,2019-01-20,27254.0,ACTIVE
ACC-00228,CUST-0159,Savings,2021-08-12,66657.0,ACTIVE
ACC-00229,CUST-0160,Credit Card,2021-06-29,37901.0,ACTIVE
ACC-00230,CUST-0161,Credit Card,2024-12-13,16967.0,ACTIVE
ACC-00231,CUST-0162,Savings,2020-04-12,19981.0,ACTIVE
ACC-00232,CUST-0163,Credit Card,2020-06-12,99864.0,ACTIVE
ACC-00233,CUST-0164,Credit Card,2020-08-04,4665.0,ACTIVE
ACC-00234,CUST-0164,Checking,2018-05-10,1242.0,ACTIVE
ACC-00235,CUST-0164,Checking,2020-01-03,1831387.0,ACTIVE
ACC-00236,CUST-0165,Credit Card,2020-03-04,2333.0,ACTIVE
ACC-00237,CUST-0165,Credit Card,2019-04-03,8420.0,ACTIVE
ACC-00238,CUST-0166,Checking,2022-11-18,21950.0,ACTIVE
ACC-00239,CUST-0167,Savings,2020-07-03,2903560.0,ACTIVE
ACC-00240,CUST-0168,Savings,2018-05-25,98513.0,ACTIVE
ACC-00241,CUST-0168,Credit Card,2024-05-01,598.0,ACTIVE
ACC-00242,CUST-0169,Credit Card,2024-01-08,1475240.0,ACTIVE
ACC-00243,CUST-0169,Savings,2025-01-30,4963.0,ACTIVE
ACC-00244,CUST-0170,Savings,2019-01-22,6295.0,ACTIVE
ACC-00245,CUST-0171,Savings,2021-03-25,7254.0,ACTIVE
ACC-00246,CUST-0172,Checking,2022-03-19,3140.0,ACTIVE
ACC-00247,CUST-0173,Savings,2018-08-08,24457.0,DORMANT
ACC-00248,CUST-0174,Savings,2026-02-04,6739.0,DORMANT
ACC-00249,CUST-0175,Credit Card,2024-07-25,2051.0,ACTIVE
ACC-00250,CUST-0176,Savings,2026-07-10,3454.0,ACTIVE
ACC-00251,CUST-0176,Credit Card,2021-10-07,8365.0,ACTIVE
ACC-00252,CUST-0176,Checking,2026-07-08,91745.0,ACTIVE
ACC-00253,CUST-0177,Checking,2021-04-05,8777.0,ACTIVE
ACC-00254,CUST-0178,Checking,2025-08-25,43286.0,ACTIVE
ACC-00255,CUST-0179,Savings,2020-07-18,3142.0,ACTIVE
ACC-00256,CUST-0180,Savings,2026-05-20,29303.0,ACTIVE
ACC-00257,CUST-0180,Checking,2022-01-07,5623.0,ACTIVE
ACC-00258,CUST-0181,Savings,2019-05-13,28033.0,ACTIVE
ACC-00259,CUST-0181,Checking,2025-05-19,5559.0,ACTIVE
ACC-00260,CUST-0182,Savings,2024-10-17,5149.0,ACTIVE
ACC-00261,CUST-0183,Credit Card,2018-11-07,2431.0,ACTIVE
ACC-00262,CUST-0184,Credit Card,2025-06-16,2684.0,ACTIVE
ACC-00263,CUST-0185,Credit Card,2026-07-17,459.0,ACTIVE
ACC-00264,CUST-0185,Savings,2020-04-01,8429.0,ACTIVE
ACC-00265,CUST-0185,Checking,2026-07-10,211.0,ACTIVE
ACC-00266,CUST-0186,Credit Card,2022-03-17,9242.0,ACTIVE
ACC-00267,CUST-0187,Checking,2019-01-27,850158.0,ACTIVE
ACC-00268,CUST-0187,Credit Card,2020-04-23,3083905.0,ACTIVE
ACC-00269,CUST-0188,Credit Card,2024-08-06,2781.0,ACTIVE
ACC-00270,CUST-0189,Credit Card,2019-11-13,42220.0,ACTIVE
ACC-00271,CUST-0189,Credit Card,2024-02-20,15957.0,ACTIVE
ACC-00272,CUST-0190,Checking,2020-01-01,47135.0,ACTIVE
ACC-00273,CUST-0191,Credit Card,2020-11-01,8364.0,ACTIVE
ACC-00274,CUST-0192,Savings,2018-12-07,4817.0,ACTIVE
ACC-00275,CUST-0192,Checking,2019-11-20,44755.0,ACTIVE
ACC-00276,CUST-0193,Credit Card,2024-03-02,51985.0,ACTIVE
ACC-00277,CUST-0194,Credit Card,2023-03-06,642541.0,ACTIVE
ACC-00278,CUST-0194,Credit Card,2018-08-25,51999.0,ACTIVE
ACC-00279,CUST-0195,Savings,2020-04-03,11240.0,DORMANT
ACC-00280,CUST-0195,Credit Card,2026-07-10,1668706.0,DORMANT
ACC-00281,CUST-0196,Checking,2021-02-10,9476.0,ACTIVE
ACC-00282,CUST-0197,Checking,2026-06-02,5445.0,ACTIVE
ACC-00283,CUST-0197,Checking,2020-04-11,28432.0,ACTIVE
ACC-00284,CUST-0198,Savings,2021-12-23,9247.0,ACTIVE
ACC-00285,CUST-0198,Credit Card,2020-03-23,8787.0,ACTIVE
ACC-00286,CUST-0199,Credit Card,2024-01-19,4913.0,DORMANT
ACC-00287,CUST-0200,Savings,2021-04-21,62444.0,ACTIVE
ACC-00288,CUST-0201,Savings,2018-06-25,5966.0,ACTIVE
ACC-00289,CUST-0202,Savings,2026-02-04,54112.0,ACTIVE
ACC-00290,CUST-0202,Credit Card,2023-08-27,7742.0,DORMANT
ACC-00291,CUST-0203,Checking,2024-09-24,6414.0,ACTIVE
ACC-00292,CUST-0204,Savings,2024-06-21,8998.0,ACTIVE
ACC-00293,CUST-0205,Credit Card,2021-10-19,1011.0,ACTIVE
ACC-00294,CUST-0206,Credit Card,2025-05-28,7665.0,ACTIVE
ACC-00295,CUST-0207,Savings,2020-07-04,7233.0,ACTIVE
ACC-00296,CUST-0207,Credit Card,2025-05-04,4231.0,ACTIVE
ACC-00297,CUST-0208,Savings,2021-04-13,4131.0,ACTIVE
ACC-00298,CUST-0208,Checking,2022-10-07,1629.0,ACTIVE
ACC-00299,CUST-0209,Credit Card,2025-09-14,4303.0,ACTIVE
ACC-00300,CUST-0209,Savings,2024-05-22,28050.0,ACTIVE
ACC-00301,CUST-0210,Savings,2022-10-28,5805.0,ACTIVE
ACC-00302,CUST-0211,Checking,2020-05-18,1030635.0,ACTIVE
ACC-00303,CUST-0212,Savings,2023-04-05,56107.0,ACTIVE
ACC-00304,CUST-0213,Credit Card,2022-09-16,253519.0,ACTIVE
ACC-00305,CUST-0214,Checking,2024-09-09,70194.0,ACTIVE
ACC-00306,CUST-0214,Checking,2022-06-04,5166.0,ACTIVE
ACC-00307,CUST-0215,Credit Card,2021-07-23,30920.0,ACTIVE
ACC-00308,CUST-0216,Credit Card,2023-08-06,2449188.0,ACTIVE
ACC-00309,CUST-0217,Checking,2022-04-25,6309.0,ACTIVE
ACC-00310,CUST-0217,Savings,2018-11-18,7660.0,ACTIVE
ACC-00311,CUST-0218,Credit Card,2023-07-01,87862.0,ACTIVE
ACC-00312,CUST-0219,Credit Card,2026-05-21,11683.0,ACTIVE
ACC-00313,CUST-0219,Checking,2021-04-28,9032.0,ACTIVE
ACC-00314,CUST-0220,Credit Card,2023-10-12,9415.0,DORMANT
ACC-00315,CUST-0221,Credit Card,2018-10-21,2796.0,ACTIVE
ACC-00316,CUST-0222,Checking,2020-06-24,532.0,ACTIVE
ACC-00317,CUST-0223,Savings,2022-11-22,4867.0,ACTIVE
ACC-00318,CUST-0224,Checking,2026-07-04,44857.0,ACTIVE
ACC-00319,CUST-0224,Credit Card,2025-05-07,2845.0,ACTIVE
ACC-00320,CUST-0224,Checking,2024-11-22,3738086.0,ACTIVE
ACC-00321,CUST-0225,Checking,2021-04-28,1503.0,ACTIVE
ACC-00322,CUST-0226,Checking,2026-06-30,345.0,ACTIVE
ACC-00323,CUST-0227,Checking,2024-01-10,3519.0,ACTIVE
ACC-00324,CUST-0228,Credit Card,2019-04-29,47463.0,ACTIVE
ACC-00325,CUST-0229,Savings,2026-01-28,5260.0,ACTIVE
ACC-00326,CUST-0229,Checking,2025-01-31,9265.0,ACTIVE
ACC-00327,CUST-0230,Checking,2024-02-08,1903.0,ACTIVE
ACC-00328,CUST-0231,Checking,2020-09-11,862794.0,ACTIVE
ACC-00329,CUST-0232,Credit Card,2021-09-09,14864.0,ACTIVE
ACC-00330,CUST-0233,Checking,2020-09-02,1485.0,ACTIVE
ACC-00331,CUST-0234,Checking,2022-08-14,472.0,ACTIVE
ACC-00332,CUST-0235,Checking,2021-07-03,2775.0,ACTIVE
ACC-00333,CUST-0235,Credit Card,2025-03-02,8124.0,ACTIVE
ACC-00334,CUST-0236,Checking,2025-09-23,65562.0,ACTIVE
ACC-00335,CUST-0237,Savings,2019-03-02,9205.0,ACTIVE
ACC-00336,CUST-0237,Checking,2023-03-06,7700.0,ACTIVE
ACC-00337,CUST-0238,Credit Card,2022-07-21,3959.0,DORMANT
ACC-00338,CUST-0238,Savings,2024-06-22,6711.0,DORMANT
ACC-00339,CUST-0239,Credit Card,2026-03-05,761.0,ACTIVE
ACC-00340,CUST-0240,Checking,2020-04-15,1247.0,ACTIVE
ACC-00341,CUST-0240,Credit Card,2019-03-04,14520.0,ACTIVE
ACC-00342,CUST-0240,Checking,2024-09-06,32218.0,ACTIVE
ACC-00343,CUST-0241,Credit Card,2026-04-03,7275.0,ACTIVE
ACC-00344,CUST-0241,Savings,2024-10-26,2504.0,ACTIVE
ACC-00345,CUST-0242,Savings,2024-02-19,8711.0,ACTIVE
ACC-00346,CUST-0243,Savings,2019-12-08,64252.0,ACTIVE
ACC-00347,CUST-0243,Savings,2021-08-05,75151.0,ACTIVE
ACC-00348,CUST-0244,Savings,2023-07-25,714071.0,ACTIVE
ACC-00349,CUST-0244,Savings,2026-07-11,12514.0,ACTIVE
ACC-00350,CUST-0245,Credit Card,2023-12-26,6904.0,ACTIVE
ACC-00351,CUST-0246,Savings,2024-02-25,9010.0,ACTIVE
ACC-00352,CUST-0247,Credit Card,2024-01-19,3002518.0,ACTIVE
ACC-00353,CUST-0248,Checking,2024-09-19,7333.0,ACTIVE
ACC-00354,CUST-0248,Credit Card,2018-10-28,4282.0,ACTIVE
ACC-00355,CUST-0249,Savings,2020-11-21,6534.0,ACTIVE
ACC-00356,CUST-0250,Credit Card,2021-02-01,419.0,ACTIVE
ACC-00357,CUST-0251,Credit Card,2018-08-21,1292.0,ACTIVE
ACC-00358,CUST-0251,Savings,2025-04-24,7669.0,ACTIVE
ACC-00359,CUST-0252,Savings,2019-12-30,40371.0,ACTIVE
ACC-00360,CUST-0253,Savings,2019-06-22,50804.0,ACTIVE
ACC-00361,CUST-0254,Savings,2023-10-18,328.0,ACTIVE
ACC-00362,CUST-0255,Credit Card,2026-03-12,9687.0,ACTIVE
ACC-00363,CUST-0256,Credit Card,2025-07-14,9222.0,ACTIVE
ACC-00364,CUST-0257,Checking,2020-11-19,7653.0,ACTIVE
ACC-00365,CUST-0257,Savings,2023-05-21,9445.0,ACTIVE
ACC-00366,CUST-0258,Credit Card,2025-06-17,3776.0,ACTIVE
ACC-00367,CUST-0259,Credit Card,2019-12-18,285.0,ACTIVE
ACC-00368,CUST-0260,Credit Card,2022-04-24,771.0,ACTIVE
ACC-00369,CUST-0261,Credit Card,2021-12-07,73202.0,ACTIVE
ACC-00370,CUST-0261,Savings,2021-02-20,2805.0,ACTIVE
