customer_id,full_name,risk_score,risk_level,rules_triggered_count,rules_triggered_ids
CUST-0016,Paul Reyes,97.78,CRITICAL,22,R01_LARGE_TRANSACTION;R03_STRUCTURING;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R07_SANCTION_COUNTRY;R08_AML_WATCHLIST;R09_PEP_CUSTOMER;R10_NEGATIVE_NEWS;R11_INCOMPLETE_KYC;R13_MULTIPLE_FAILED_LOGINS;R14_IMPOSSIBLE_TRAVEL;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R18_HIGH_TRANSACTION_FREQUENCY;R20_SHARED_DEVICE;R21_LARGE_BALANCE_CHANGE;R23_ROUND_NUMBER_PAYMENT;R24_MERCHANT_BLACKLIST;R26_COUNTRY_RISK;R27_LOCATION_MISMATCH;R30_BEHAVIOURAL_ANOMALY
CUST-0014,Brittney Lowe,97.73,CRITICAL,22,R04_CRYPTO_MERCHANT;R05_CASH_INTENSIVE_MERCHANT;R06_HIGH_RISK_MERCHANT;R07_SANCTION_COUNTRY;R08_AML_WATCHLIST;R10_NEGATIVE_NEWS;R11_INCOMPLETE_KYC;R13_MULTIPLE_FAILED_LOGINS;R14_IMPOSSIBLE_TRAVEL;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R18_HIGH_TRANSACTION_FREQUENCY;R19_ACCOUNT_TAKEOVER_INDICATOR;R20_SHARED_DEVICE;R21_LARGE_BALANCE_CHANGE;R23_ROUND_NUMBER_PAYMENT;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R26_COUNTRY_RISK;R27_LOCATION_MISMATCH;R28_ACCOUNT_AGE;R30_BEHAVIOURAL_ANOMALY
CUST-0467,Sara Foster,97.7,CRITICAL,13,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R14_IMPOSSIBLE_TRAVEL;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R19_ACCOUNT_TAKEOVER_INDICATOR;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R28_ACCOUNT_AGE;R30_BEHAVIOURAL_ANOMALY
CUST-0303,Dawn Palmer,97.49,CRITICAL,21,R01_LARGE_TRANSACTION;R03_STRUCTURING;R04_CRYPTO_MERCHANT;R05_CASH_INTENSIVE_MERCHANT;R06_HIGH_RISK_MERCHANT;R07_SANCTION_COUNTRY;R08_AML_WATCHLIST;R09_PEP_CUSTOMER;R10_NEGATIVE_NEWS;R11_INCOMPLETE_KYC;R13_MULTIPLE_FAILED_LOGINS;R14_IMPOSSIBLE_TRAVEL;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R23_ROUND_NUMBER_PAYMENT;R24_MERCHANT_BLACKLIST;R26_COUNTRY_RISK;R27_LOCATION_MISMATCH;R28_ACCOUNT_AGE;R30_BEHAVIOURAL_ANOMALY
CUST-0105,Holly Erickson,97.42,CRITICAL,18,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R05_CASH_INTENSIVE_MERCHANT;R06_HIGH_RISK_MERCHANT;R07_SANCTION_COUNTRY;R08_AML_WATCHLIST;R09_PEP_CUSTOMER;R10_NEGATIVE_NEWS;R13_MULTIPLE_FAILED_LOGINS;R14_IMPOSSIBLE_TRAVEL;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R21_LARGE_BALANCE_CHANGE;R23_ROUND_NUMBER_PAYMENT;R24_MERCHANT_BLACKLIST;R26_COUNTRY_RISK;R27_LOCATION_MISMATCH;R30_BEHAVIOURAL_ANOMALY
CUST-0278,Christopher Rodriguez,97.34,CRITICAL,13,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R09_PEP_CUSTOMER;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R18_HIGH_TRANSACTION_FREQUENCY;R21_LARGE_BALANCE_CHANGE;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R30_BEHAVIOURAL_ANOMALY
CUST-0084,Christine Franklin,97.15,CRITICAL,12,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R08_AML_WATCHLIST;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R18_HIGH_TRANSACTION_FREQUENCY;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R28_ACCOUNT_AGE;R30_BEHAVIOURAL_ANOMALY
CUST-0046,Angela Carpenter,97.08,CRITICAL,13,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R08_AML_WATCHLIST;R10_NEGATIVE_NEWS;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R18_HIGH_TRANSACTION_FREQUENCY;R21_LARGE_BALANCE_CHANGE;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R27_LOCATION_MISMATCH;R30_BEHAVIOURAL_ANOMALY
CUST-0336,Albert Todd,96.88,CRITICAL,13,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R09_PEP_CUSTOMER;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R18_HIGH_TRANSACTION_FREQUENCY;R19_ACCOUNT_TAKEOVER_INDICATOR;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R27_LOCATION_MISMATCH;R28_ACCOUNT_AGE;R30_BEHAVIOURAL_ANOMALY
CUST-0080,Alexander Marshall,96.7,CRITICAL,11,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R08_AML_WATCHLIST;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R21_LARGE_BALANCE_CHANGE;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R30_BEHAVIOURAL_ANOMALY
CUST-0453,Matthew Solis,96.69,CRITICAL,12,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R18_HIGH_TRANSACTION_FREQUENCY;R19_ACCOUNT_TAKEOVER_INDICATOR;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R27_LOCATION_MISMATCH;R30_BEHAVIOURAL_ANOMALY
CUST-0069,Tiffany Gray,96.67,CRITICAL,12,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R08_AML_WATCHLIST;R10_NEGATIVE_NEWS;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R18_HIGH_TRANSACTION_FREQUENCY;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R26_COUNTRY_RISK;R29_CUSTOMER_AGE
CUST-0008,Angela Graham,96.62,CRITICAL,13,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R08_AML_WATCHLIST;R09_PEP_CUSTOMER;R10_NEGATIVE_NEWS;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R18_HIGH_TRANSACTION_FREQUENCY;R20_SHARED_DEVICE;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R27_LOCATION_MISMATCH
CUST-0022,Shawn Williamson,96.6,CRITICAL,13,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R08_AML_WATCHLIST;R10_NEGATIVE_NEWS;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R18_HIGH_TRANSACTION_FREQUENCY;R20_SHARED_DEVICE;R21_LARGE_BALANCE_CHANGE;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R26_COUNTRY_RISK
CUST-0107,Michael Benitez,96.41,CRITICAL,13,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R08_AML_WATCHLIST;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R21_LARGE_BALANCE_CHANGE;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R30_BEHAVIOURAL_ANOMALY
CUST-0173,Michael Jimenez,96.35,CRITICAL,11,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R18_HIGH_TRANSACTION_FREQUENCY;R19_ACCOUNT_TAKEOVER_INDICATOR;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R30_BEHAVIOURAL_ANOMALY
CUST-0277,Michael Robles,96.2,CRITICAL,11,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R14_IMPOSSIBLE_TRAVEL;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R18_HIGH_TRANSACTION_FREQUENCY;R21_LARGE_BALANCE_CHANGE;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R27_LOCATION_MISMATCH;R30_BEHAVIOURAL_ANOMALY
CUST-0402,Ashley Dunn,96.08,CRITICAL,14,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R18_HIGH_TRANSACTION_FREQUENCY;R21_LARGE_BALANCE_CHANGE;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R27_LOCATION_MISMATCH;R28_ACCOUNT_AGE;R29_CUSTOMER_AGE;R30_BEHAVIOURAL_ANOMALY
CUST-0220,Rachel Murray,96.03,CRITICAL,12,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R11_INCOMPLETE_KYC;R14_IMPOSSIBLE_TRAVEL;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R30_BEHAVIOURAL_ANOMALY
CUST-0382,Donna Buckley,95.78,CRITICAL,11,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R09_PEP_CUSTOMER;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R18_HIGH_TRANSACTION_FREQUENCY;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R30_BEHAVIOURAL_ANOMALY
CUST-0353,Deborah Garrett,95.47,CRITICAL,11,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R27_LOCATION_MISMATCH;R30_BEHAVIOURAL_ANOMALY
CUST-0176,Lee Little,95.37,CRITICAL,11,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R26_COUNTRY_RISK;R27_LOCATION_MISMATCH;R28_ACCOUNT_AGE;R30_BEHAVIOURAL_ANOMALY
CUST-0447,Benjamin Hartman,95.35,CRITICAL,11,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R30_BEHAVIOURAL_ANOMALY
CUST-0456,Charles Murphy,95.26,CRITICAL,11,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R18_HIGH_TRANSACTION_FREQUENCY;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R30_BEHAVIOURAL_ANOMALY
CUST-0327,Crystal Hunter,95.2,CRITICAL,11,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R09_PEP_CUSTOMER;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R30_BEHAVIOURAL_ANOMALY
CUST-0174,Linda Russell,95.02,CRITICAL,10,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R30_BEHAVIOURAL_ANOMALY
CUST-0374,Wanda Tyler,95.02,CRITICAL,10,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R09_PEP_CUSTOMER;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R21_LARGE_BALANCE_CHANGE;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R27_LOCATION_MISMATCH
CUST-0094,David Tucker,94.7,CRITICAL,9,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R08_AML_WATCHLIST;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R30_BEHAVIOURAL_ANOMALY
CUST-0202,Suzanne Mack,94.7,CRITICAL,11,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R09_PEP_CUSTOMER;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R30_BEHAVIOURAL_ANOMALY
CUST-0238,Kelly Rodriguez,94.61,CRITICAL,10,R01_LARGE_TRANSACTION;R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R09_PEP_CUSTOMER;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R17_DORMANT_ACCOUNT_ACTIVE;R21_LARGE_BALANCE_CHANGE;R24_MERCHANT_BLACKLIST;R30_BEHAVIOURAL_ANOMALY
CUST-0479,Jennifer Williams,94.4,CRITICAL,10,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R18_HIGH_TRANSACTION_FREQUENCY;R21_LARGE_BALANCE_CHANGE;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R27_LOCATION_MISMATCH
CUST-0226,Richard Davis,94.37,CRITICAL,11,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R21_LARGE_BALANCE_CHANGE;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R28_ACCOUNT_AGE;R30_BEHAVIOURAL_ANOMALY
CUST-0151,Elizabeth Cross,94.21,CRITICAL,11,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R18_HIGH_TRANSACTION_FREQUENCY;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R26_COUNTRY_RISK;R28_ACCOUNT_AGE;R30_BEHAVIOURAL_ANOMALY
CUST-0259,John Thornton,94.0,CRITICAL,10,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R21_LARGE_BALANCE_CHANGE;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R27_LOCATION_MISMATCH;R30_BEHAVIOURAL_ANOMALY
CUST-0321,Sheri Howard,93.24,CRITICAL,10,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R21_LARGE_BALANCE_CHANGE;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R27_LOCATION_MISMATCH;R30_BEHAVIOURAL_ANOMALY
CUST-0461,Matthew Watts,93.19,CRITICAL,9,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R09_PEP_CUSTOMER;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R27_LOCATION_MISMATCH
CUST-0224,Lauren Frederick,91.97,CRITICAL,9,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT;R27_LOCATION_MISMATCH;R30_BEHAVIOURAL_ANOMALY
CUST-0412,Philip Lynch,88.62,CRITICAL,8,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R11_INCOMPLETE_KYC;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R25_EXTERNAL_FRAUD_ALERT
CUST-0451,Andrea Schaefer,86.81,CRITICAL,7,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R22_OUTSIDE_CUSTOMER_PATTERN;R24_MERCHANT_BLACKLIST;R27_LOCATION_MISMATCH
CUST-0423,Megan Hernandez,82.92,CRITICAL,5,R06_HIGH_RISK_MERCHANT;R08_AML_WATCHLIST;R18_HIGH_TRANSACTION_FREQUENCY;R22_OUTSIDE_CUSTOMER_PATTERN;R26_COUNTRY_RISK
CUST-0148,Anthony Wilson,82.12,CRITICAL,6,R04_CRYPTO_MERCHANT;R06_HIGH_RISK_MERCHANT;R15_VPN_LOGIN;R16_FOREIGN_LOGIN;R18_HIGH_TRANSACTION_FREQUENCY;R24_MERCHANT_BLACKLIST
CUST-0483,Meagan Young,81.4,CRITICAL,6,R06_HIGH_RISK_MERCHANT;R15_VPN_LOGIN;R18_HIGH_TRANSACTION_FREQUENCY;R22_OUTSIDE_CUSTOMER_PATTERN;R25_EXTERNAL_FRAUD_ALERT;R26_COUNTRY_RISK
CUST-0378,Alejandro Hess,81.3,CRITICAL,6,R06_HIGH_RISK_MERCHANT;R15_VPN_LOGIN;R18_HIGH_TRANSACTION_FREQUENCY;R22_OUTSIDE_CUSTOMER_PATTERN;R25_EXTERNAL_FRAUD_ALERT;R26_COUNTRY_RISK
CUST-0087,Johnathan Garcia,78.25,CRITICAL,5,R06_HIGH_RISK_MERCHANT;R18_HIGH_TRANSACTION_FREQUENCY;R22_OUTSIDE_CUSTOMER_PATTERN;R25_EXTERNAL_FRAUD_ALERT;R26_COUNTRY_RISK
